Artist,Time,Buhne,Date,Timestamp,X,Y,Cluster
Donots,17:30,Hauptbuhne,2017-07-21,2017-07-21 17:30:00,8.37376284,48.99776582,B
Jennifer Rostock,19:10,Hauptbuhne,2017-07-21,2017-07-21 19:10:00,8.37376284,48.99776582,B
Sportfreunde Stiller,21:00,Hauptbuhne,2017-07-21,2017-07-21 21:00:00,8.37376284,48.99776582,B
Meute,23:00,Hauptbuhne,2017-07-21,2017-07-21 23:00:00,8.37376284,48.99776582,B
Mars of Illyricum,20:00,Feldbuhne,2017-07-21,2017-07-21 20:00:00,8.37221654,49.00138549,D
Astronautalis,21:15,Feldbuhne,2017-07-21,2017-07-21 21:15:00,8.37221654,49.00138549,D
Curse,22:30,Feldbuhne,2017-07-21,2017-07-21 22:30:00,8.37221654,49.00138549,D
OstWest Brothers,18:00,DJ-Buhne,2017-07-21,2017-07-21 18:00:00,8.372187400000001,48.99948011,D
DJ SiMa,19:30,DJ-Buhne,2017-07-21,2017-07-21 19:30:00,8.372187400000001,48.99948011,D
Daniel Metzger,22:00,DJ-Buhne,2017-07-21,2017-07-21 22:00:00,8.372187400000001,48.99948011,D
Le Filou,23:00,DJ-Buhne,2017-07-21,2017-07-21 23:00:00,8.372187400000001,48.99948011,D
Himmelblau,13:00,Hauptbuhne,2017-07-22,2017-07-22 13:00:00,8.37376284,48.99776582,B
Reaching 62 F,13:50,Hauptbuhne,2017-07-22,2017-07-22 13:50:00,8.37376284,48.99776582,B
All Haze Red,14:50,Hauptbuhne,2017-07-22,2017-07-22 14:50:00,8.37376284,48.99776582,B
Drangsal,16:00,Hauptbuhne,2017-07-22,2017-07-22 16:00:00,8.37376284,48.99776582,B
Zebrahead,17:30,Hauptbuhne,2017-07-22,2017-07-22 17:30:00,8.37376284,48.99776582,B
Feine Sahne Fischfilet,19:00,Hauptbuhne,2017-07-22,2017-07-22 19:00:00,8.37376284,48.99776582,B
Sido,21:00,Hauptbuhne,2017-07-22,2017-07-22 21:00:00,8.37376284,48.99776582,B
Al Jawala,23:00,Hauptbuhne,2017-07-22,2017-07-22 23:00:00,8.37376284,48.99776582,B
Brothers Of Santa Claus,13:00,Feldbuhne,2017-07-22,2017-07-22 13:00:00,8.37221654,49.00138549,D
Finding Harbours,14:45,Feldbuhne,2017-07-22,2017-07-22 14:45:00,8.37221654,49.00138549,D
Resistance,16:00,Feldbuhne,2017-07-22,2017-07-22 16:00:00,8.37221654,49.00138549,D
Grizzly,17:15,Feldbuhne,2017-07-22,2017-07-22 17:15:00,8.37221654,49.00138549,D
Mother´s Cake,18:30,Feldbuhne,2017-07-22,2017-07-22 18:30:00,8.37221654,49.00138549,D
The Hirsch Effekt,20:15,Feldbuhne,2017-07-22,2017-07-22 20:15:00,8.37221654,49.00138549,D
Django S.,22:15,Feldbuhne,2017-07-22,2017-07-22 22:15:00,8.37221654,49.00138549,D
NuM,16:30,DJ-Buhne,2017-07-22,2017-07-22 16:30:00,8.372187400000001,48.99948011,D
