A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index,Day index
0,0,0,0,0,0,0,0,0,15,3,0,0
0,0,0,0,0,0,0,0,0,15,3,1,0
0,0,0,0,0,0,0,0,0,15,3,2,0
0,0,0,0,0,0,0,0,0,15,3,3,0
0,0,0,0,0,0,0,0,0,15,3,4,0
0,0,0,0,0,0,0,0,0,15,3,5,0
0,0,0,0,0,0,0,0,0,15,3,6,0
0,0,0,0,0,0,0,0,0,15,3,7,0
0,0,0,0,0,0,0,0,0,15,3,8,0
0,0,0,0,0,0,0,0,0,15,3,9,0
0,0,0,0,0,0,0,0,0,15,3,10,0
0,0,0,0,0,0,0,0,0,15,3,11,0
0,0,0,0,0,0,0,0,0,15,3,12,0
0,0,0,0,0,0,0,0,0,15,3,13,0
0,0,0,0,0,0,0,0,0,15,3,14,0
0,0,0,0,0,0,0,0,0,15,3,15,0
0,0,0,0,0,0,0,0,0,15,3,16,0
0,0,0,0,0,0,0,0,0,15,3,17,0
0,0,0,0,0,0,0,0,0,15,3,18,0
0,0,1,0,0,0,0,0,1,16,3,19,0
0,0,0,0,0,0,0,0,0,16,3,20,0
0,0,0,0,0,0,0,0,0,16,3,21,0
0,0,0,0,0,0,0,0,0,16,3,22,0
0,0,0,0,0,0,0,0,0,15,3,23,0
0,0,1,0,0,0,0,0,1,15,3,24,0
0,0,0,0,0,0,0,0,0,15,3,25,0
0,0,0,0,0,0,0,0,0,15,3,26,0
0,0,0,0,0,0,0,0,0,16,3,27,0
1,0,0,0,0,0,0,0,1,16,3,28,0
0,1,1,0,0,1,0,0,3,17,3,29,0
0,0,0,0,2,1,0,0,3,17,3,30,0
0,0,0,0,0,0,0,0,0,18,3,31,0
0,1,0,0,0,0,0,0,1,18,3,32,0
0,1,0,0,0,0,0,0,1,18,3,33,0
0,0,0,0,0,0,0,0,0,18,3,34,0
0,0,0,0,0,0,0,0,0,19,2,35,0
0,0,0,0,1,0,0,0,1,19,2,36,0
0,0,0,0,0,0,0,0,0,20,3,37,0
0,0,1,0,0,0,0,0,1,20,3,38,0
0,0,1,0,0,0,0,0,1,21,3,39,0
0,1,0,0,0,0,0,0,1,21,3,40,0
0,0,0,0,0,1,0,0,1,22,2,41,0
0,0,0,0,0,0,0,0,0,22,2,42,0
0,0,0,0,0,1,0,0,1,22,2,43,0
0,0,2,0,0,0,0,0,2,22,2,44,0
0,0,2,0,0,1,0,0,3,23,3,45,0
0,0,2,0,0,0,0,0,2,23,3,46,0
0,0,1,0,0,1,0,0,2,24,2,47,0
3,0,0,0,1,2,0,0,6,24,2,48,0
1,0,0,0,0,1,0,0,2,25,2,49,0
0,0,1,0,0,1,0,0,2,25,2,50,0
0,0,1,0,0,0,0,0,1,26,2,51,0
0,0,1,0,0,0,0,0,1,26,2,52,0
0,1,0,0,0,0,0,0,1,26,2,53,0
2,0,2,0,1,1,0,0,6,26,2,54,0
0,0,2,0,1,0,0,0,3,26,2,55,0
1,0,1,0,2,2,0,0,6,26,2,56,0
1,0,1,0,5,7,0,0,14,27,2,57,0
1,1,3,0,4,8,0,0,17,27,2,58,0
4,0,1,2,4,10,0,0,21,27,2,59,0
8,2,5,10,4,5,0,0,34,27,2,60,0
10,8,5,9,7,10,0,0,49,28,2,61,0
26,9,1,5,6,6,0,0,53,28,2,62,0
19,5,5,5,7,5,0,0,46,28,3,63,0
23,9,5,3,10,8,0,0,58,28,3,64,0
22,6,6,9,12,8,0,0,63,28,3,65,0
24,7,7,3,11,6,0,0,58,28,3,66,0
19,7,6,7,4,9,0,0,52,29,2,67,0
23,14,7,10,4,7,0.880428488317853,0,65,29,2,68,0
22,5,7,11,9,8,0.880428488317853,0,62,29,3,69,0
26,4,6,1,11,7,0.880428488317853,0.570066112518951,55,29,3,70,0
30,4,6,4,5,6,0.880428488317853,0.570066112518951,55,29,3,71,0
24,6,8,11,7,5,0.880428488317853,0.570066112518951,61,29,3,72,0
28,4,9,11,8,11,0.880428488317853,0.570066112518951,71,29,3,73,0
32,1,8,16,5,8,0.880428488317853,0.570066112518951,70,29,3,74,0
33,3,8,10,7,7,0.818359209238571,0.570066112518951,68,28,3,75,0
27,4,9,8,4,8,0.818359209238571,0.570066112518951,60,28,3,76,0
27,4,8,5,6,5,0.818359209238571,0.570066112518951,55,28,1,77,0
27,5,9,6,5,2,0.818359209238571,0.575259276888991,54,28,1,78,0
33,4,5,7,3,2,0.818359209238571,0.575259276888991,54,27,2,79,0
33,4,5,5,5,3,0.818359209238571,0.575259276888991,55,27,2,80,0
26,2,4,11,7,4,0.818359209238571,0.575259276888991,54,27,0,81,0
26,9,8,6,9,5,0.863869878780195,0.575259276888991,63,27,0,82,0
20,6,6,3,4,8,0.863869878780195,0.939264083354292,47,25,0,83,0
16,6,6,4,8,4,0.863869878780195,0.939264083354292,44,25,0,84,0
3,3,6,3,4,4,0.863869878780195,0.939264083354292,23,19,1,85,0
7,4,4,1,4,0,0.863869878780195,0.939264083354292,20,19,1,86,0
11,1,3,1,4,3,0.863869878780195,0.939264083354292,23,18,0,87,0
9,1,4,1,1,0,0.863869878780195,1,16,18,0,88,0
5,0,3,2,0,5,0.863869878780195,1,15,18,0,89,0
2,1,0,2,0,1,0.927472222440844,1,6,18,0,90,0
0,0,0,1,1,1,0.927472222440844,1,3,18,0,91,0
0,0,0,1,0,0,0.927472222440844,1,1,18,0,92,0
0,0,0,1,0,1,0,0,2,18,0,93,0
0,0,0,1,0,0,0,0,1,18,0,94,0
0,0,0,1,1,0,0,0,2,18,0,95,0
0,0,0,0,0,0,0,0,0,18,0,0,1
0,0,0,0,0,0,0,0,0,18,0,1,1
0,0,0,0,0,0,0,0,0,18,0,2,1
0,0,0,0,0,0,0,0,0,18,0,3,1
0,0,0,0,0,0,0,0,0,18,0,4,1
0,0,0,0,0,0,0,0,0,18,0,5,1
0,0,0,0,0,0,0,0,0,18,0,6,1
0,0,0,0,0,0,0,0,0,18,0,7,1
0,0,0,0,0,0,0,0,0,18,0,8,1
0,0,0,0,0,0,0,0,0,17,3,9,1
0,0,0,0,0,0,0,0,0,17,3,10,1
0,0,0,0,0,0,0,0,0,17,3,11,1
0,0,0,0,0,0,0,0,0,17,3,12,1
0,0,0,0,0,0,0,0,0,17,3,13,1
0,0,0,0,0,0,0,0,0,17,3,14,1
0,0,0,0,0,0,0,0,0,17,3,15,1
0,0,0,0,0,0,0,0,0,17,3,16,1
0,0,0,0,0,0,0,0,0,17,3,17,1
0,0,1,0,0,0,0,0,1,17,3,18,1
0,0,0,0,0,0,0,0,0,17,3,19,1
0,0,0,0,0,0,0,0,0,17,3,20,1
0,0,0,0,0,0,0,0,0,17,1,21,1
0,0,0,0,0,0,0,0,0,17,1,22,1
0,0,0,0,0,0,0,0,0,17,1,23,1
0,0,0,0,0,0,0,0,0,17,1,24,1
0,0,0,0,0,0,0,0,0,17,3,25,1
0,0,0,0,0,0,0,0,0,17,3,26,1
0,0,0,0,0,0,0,0,0,17,3,27,1
0,0,0,0,0,0,0,0,0,17,3,28,1
0,0,0,0,0,0,0,0,0,18,2,29,1
0,0,1,0,1,1,0,0,3,18,2,30,1
0,0,0,0,0,1,0,0,1,18,2,31,1
0,0,1,0,0,1,0,0,2,18,2,32,1
0,0,2,0,0,1,0,0,3,20,3,33,1
