,A,B,C,D,E,F
A,0.185689630178,0.089758754526,0.0,0.221686407938,0.0483665049457,0.100001979311
B,0.11087892578,0.191627867216,0.0318341784786,0.166222826081,0.083832326621,0.0278589623877
C,0.145994214248,0.0487803335965,0.146867107933,0.0708980513985,0.0513319845238,0.0774558640905
D,0.134417595994,0.136570388193,0.0319689248892,0.283340054461,0.0,0.0
E,0.199073661974,0.058608818209,0.00859245650673,0.133876056187,0.18974102574,0.0618297031181
F,0.176043173472,0.0293131877641,0.0207673978687,0.127423593196,0.153452070363,0.0589051599394
Apop,0.0471828462008,0.0358139073178,0.015545333974,0.0563642118469,0.0650772497925,0.155154526509
Bpop,0.0680240078662,0.00903321500851,0.00171545991325,0.0389844335056,0.034560619881,0.0
Total users,0.223760793249,0.127353406942,0.0962367035943,0.208295140321,0.176992980157,0.187846218319
Temperature,0.0910004494596,0.0,0.00325170565011,0.145965706826,0.0851145529568,0.0634882429578
Conditions,0.116224496441,0.0716000657769,0.033911066563,0.00826626300127,0.0,0.0400928367233
Time index,0.139097991648,0.143257429102,0.0668175126634,0.11287169801,0.126733276608,0.116633436335
