,A,,,,B,,,,C,,,,D,,,,E,,,,F,,,
,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,66.67%,63.89%,65.28%,61.11%,68.06%,70.83%,73.61%,70.83%,73.61%,72.22%,73.61%,73.61%,72.22%,69.44%,70.83%,66.67%,66.67%,66.67%,59.72%,62.50%,62.50%,68.06%,65.28%,66.67%
mult_KNN,75.00%,65.28%,66.67%,68.06%,68.06%,70.83%,68.06%,70.83%,73.61%,73.61%,72.22%,72.22%,68.06%,68.06%,68.06%,68.06%,65.28%,68.06%,63.89%,66.67%,63.89%,61.11%,62.50%,59.72%
mult_SVC,61.11%,61.11%,61.11%,61.11%,68.06%,68.06%,68.06%,68.06%,73.61%,73.61%,73.61%,73.61%,66.67%,66.67%,66.67%,65.28%,61.11%,75.00%,58.33%,58.33%,61.11%,61.11%,59.72%,59.72%
mult_NB,62.50%,63.89%,62.50%,66.67%,55.56%,55.56%,56.94%,56.94%,45.83%,44.44%,48.61%,45.83%,59.72%,56.94%,61.11%,56.94%,61.11%,61.11%,63.89%,61.11%,58.33%,58.33%,58.33%,59.72%
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
mult_RF,66.67%,73.61%,73.61%,72.22%,66.67%,68.06%,,70.14%,,,,,,,,,,,,,,,,
mult_KNN,75.00%,70.83%,73.61%,68.06%,68.06%,63.89%,,69.91%,,,,,,,,,,,,,,,,
mult_SVC,61.11%,68.06%,73.61%,66.67%,75.00%,61.11%,,67.59%,,,,,,,,,,,,,,,,
mult_NB,66.67%,56.94%,48.61%,61.11%,63.89%,59.72%,,59.49%,,,,,,,,,,,,,,,,
