,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,65.28%,65.28%,61.11%,63.89%,72.22%,65.28%,72.22%,69.44%,75.00%,77.78%,79.17%,73.61%,70.83%,65.28%,68.06%,72.22%,63.89%,63.89%,62.50%,65.28%,70.83%,68.06%,69.44%,65.28%
mult_KNN,72.22%,69.44%,62.50%,63.89%,70.83%,69.44%,66.67%,66.67%,73.61%,73.61%,73.61%,72.22%,68.06%,70.83%,66.67%,65.28%,65.28%,63.89%,62.50%,62.50%,62.50%,58.33%,61.11%,61.11%
mult_SVC,61.11%,61.11%,61.11%,61.11%,72.22%,68.06%,68.06%,68.06%,73.61%,73.61%,73.61%,73.61%,70.83%,66.67%,65.28%,66.67%,58.33%,59.72%,58.33%,58.33%,61.11%,61.11%,59.72%,59.72%
mult_NB,62.50%,63.89%,62.50%,66.67%,55.56%,54.17%,56.94%,58.33%,45.83%,44.44%,48.61%,45.83%,59.72%,56.94%,59.72%,56.94%,61.11%,62.50%,63.89%,61.11%,58.33%,58.33%,58.33%,58.33%
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
mult_RF,65.28%,72.22%,79.17%,72.22%,65.28%,70.83%,,70.83%,,,,,,,,,,,,,,,,
mult_KNN,72.22%,70.83%,73.61%,70.83%,65.28%,62.50%,,69.21%,,,,,,,,,,,,,,,,
mult_SVC,61.11%,72.22%,73.61%,70.83%,59.72%,61.11%,,66.44%,,,,,,,,,,,,,,,,
mult_NB,66.67%,58.33%,48.61%,59.72%,63.89%,58.33%,,59.26%,,,,,,,,,,,,,,,,
