,A,B,C,D,E,F
A,0.216788420386,0.0619486242917,0.00441831872797,0.21453801645,0.0749570252054,0.119100032969
B,0.143590331765,0.157604951449,0.0,0.117375806076,0.0810558599273,0.0598460723922
C,0.103507113536,0.0725774324549,0.145863084894,0.107438160358,0.0,0.0401576746028
D,0.0846755719787,0.0757346091098,0.0,0.271213706606,0.000280353963382,0.0045003424212
E,0.163833685136,0.0730275890996,0.0132270906554,0.128776014845,0.201304943806,0.030218139023
F,0.179968647937,0.0,0.0454889551983,0.149450448981,0.108798110265,0.12215913334
Apop,0.0330943474201,0.0458262127971,0.0,0.0669932102156,0.091797252668,0.0906103602349
Bpop,0.020947128039,0.0101887195463,0.0433737034099,0.013234885324,0.0280693735118,0.00497317194014
Total users,0.214391048366,0.117691543133,0.0794013875689,0.194455969672,0.175709939908,0.17440619951
Temperature,0.107633846344,0.0432553920572,0.0284046794234,0.148805885055,0.0447039169749,0.0816019927404
Conditions,0.0736209329993,0.0,0.0301655851677,0.0,0.0,0.0326543247095
Time index,0.139774681038,0.145691372713,0.0946705002925,0.101762785727,0.12165145669,0.112062341689
