,A,B,C,D,E,F
A,0.721852523405,0.284465108845,0.428119599685,0.450129401776,0.415532382792,0.397279539722
B,0.334754430085,0.566990152361,0.239263042025,0.533955545504,0.400666593998,0.256479935731
C,0.343612154177,0.342978147619,0.436141016007,0.336478867032,0.314640602459,0.283382396308
D,0.417636927717,0.541471479836,0.245424680927,0.565425759604,0.523752362105,0.265762423126
E,0.441207774216,0.462409452094,0.345167682426,0.568962554988,0.52454316193,0.311640319781
F,0.33213920343,0.203087848057,0.304824498278,0.315623187553,0.346632485542,0.336026388664
Apop,0.224091005643,0.254479656458,0.190895269621,0.235217395227,0.216723456464,0.238951839623
Bpop,0.180100402366,0.239948769779,0.213817765423,0.336817765934,0.207961858274,0.238385892777
Total users,0.767690949013,0.533217014764,0.511667019015,0.668628879614,0.537248796668,0.549964083345
Temperature,0.31717633959,0.312632365672,0.241693035474,0.343166326184,0.290618509956,0.290695774143
Conditions,0.373444012412,0.106344393833,0.149815800516,0.138809130206,0.104755897949,0.255736785271
Time index,0.457498804947,0.39411113514,0.446558865532,0.487795242108,0.484347620528,0.468384639747
