A,B,C,D,E,F,Apop,Cpop,Total users,Temperature,Conditions,Time index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,18
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,15.6,3.0,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,3.0,23
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,15.0,3.0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,3.0,27
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,16.0,3.0,28
0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.8,16.6,3.0,29
0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.6,17.0,3.0,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,3.0,31
0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,18.0,3.0,32
0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,18.0,3.0,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,2.4,35
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,19.0,2.0,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,2.6,37
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,20.0,3.0,38
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,20.6,3.0,39
0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,21.0,3.0,40
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,21.6,2.4,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,42
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4,22.0,2.0,43
0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,22.0,2.0,44
0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.8,22.6,2.6,45
0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,1.0,23.0,3.0,46
0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.6,23.6,2.4,47
0.8,0.2,0.0,0.0,0.6,0.0,0.0,0.0,1.6,24.0,2.0,48
0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,24.6,2.0,49
0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,25.0,2.0,50
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,25.6,2.0,51
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,26.0,2.0,52
0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,26.0,2.0,53
0.6,0.4,0.0,0.8,0.2,0.0,0.0,0.0,2.0,26.0,2.0,54
0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.0,1.4,26.0,2.0,55
0.2,0.6,0.0,1.0,0.4,0.0,0.0,0.0,2.2,26.0,2.0,56
0.2,1.2,0.0,1.0,2.2,0.0,0.0,0.0,4.6,26.6,2.0,57
0.2,1.4,0.2,0.8,5.4,0.0,0.0,0.0,8.0,27.0,2.0,58
1.0,1.2,0.0,0.2,4.2,0.6,0.0,0.0,7.2,27.0,2.0,59
3.4,1.8,0.8,1.6,1.4,3.6,0.0,0.0,12.6,27.0,2.0,60
8.4,3.2,2.0,2.0,3.0,2.0,0.0,0.0,20.6,27.6,2.0,61
11.4,2.4,2.2,0.6,2.0,2.0,0.0,0.0,20.6,28.0,2.0,62
6.6,2.4,2.2,1.6,2.0,1.4,0.0,0.0,16.2,28.0,2.6,63
