A,B,C,D,E,F,Fpop,Cpop,Total users,Temperature,Conditions,Time index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,3.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,11
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,3.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,13
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,16.0,3.0,14
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,3.0,15
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,3.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,17
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,18
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,20.0,3.0,19
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,21.0,3.0,20
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,21
1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,22.0,2.0,22
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,23.0,3.0,23
2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,2.0,24
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,25.0,2.0,25
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,26.0,2.0,26
1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,26.0,2.0,27
8.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,26.0,2.0,28
13.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,27.0,27.0,2.0,29
12.0,9.0,12.0,16.0,8.0,7.0,0.0,0.0,64.0,27.0,2.0,30
10.0,8.0,33.0,7.0,3.0,10.0,0.0,0.0,71.0,28.0,2.0,31
14.0,19.0,31.0,4.0,6.0,12.0,0.0,0.0,86.0,28.0,3.0,32
11.0,13.0,32.0,8.0,9.0,10.0,0.0,0.0,83.0,28.0,3.0,33
12.0,10.0,33.0,14.0,11.0,15.0,0.0,0.8804284883178531,95.0,29.0,2.0,34
12.0,13.0,41.0,3.0,11.0,7.0,0.5700661125189511,0.8804284883178531,87.0,29.0,3.0,35
15.0,11.0,33.0,15.0,12.0,8.0,0.5700661125189511,0.8804284883178531,94.0,29.0,3.0,36
13.0,9.0,40.0,21.0,13.0,3.0,0.5700661125189511,0.8804284883178531,99.0,29.0,3.0,37
12.0,9.0,37.0,8.0,13.0,6.0,0.5700661125189511,0.8183592092385709,85.0,28.0,3.0,38
4.0,8.0,43.0,11.0,12.0,7.0,0.5752592768889914,0.8183592092385709,85.0,28.0,1.0,39
6.0,8.0,43.0,11.0,9.0,5.0,0.5752592768889914,0.8183592092385709,82.0,27.0,2.0,40
11.0,11.0,34.0,7.0,12.0,12.0,0.5752592768889914,0.8638698787801952,87.0,27.0,0.0,41
5.0,10.0,19.0,4.0,7.0,6.0,0.9392640833542918,0.8638698787801952,51.0,25.0,0.0,42
1.0,7.0,13.0,2.0,6.0,5.0,0.9392640833542918,0.8638698787801952,34.0,19.0,1.0,43
3.0,1.0,12.0,2.0,5.0,1.0,0.9999999999999999,0.8638698787801952,24.0,18.0,0.0,44
2.0,1.0,2.0,3.0,0.0,1.0,0.9999999999999999,0.927472222440844,9.0,18.0,0.0,45
1.0,0.0,0.0,2.0,0.0,0.0,0.9999999999999999,0.927472222440844,3.0,18.0,0.0,46
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,3.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,12
