,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,69.44%,69.44%,66.67%,68.06%,69.44%,73.61%,66.67%,69.44%,73.61%,72.22%,77.78%,73.61%,69.44%,70.83%,63.89%,63.89%,65.28%,66.67%,66.67%,69.44%,65.28%,66.67%,65.28%,62.50%
mult_KNN,72.22%,69.44%,68.06%,61.11%,70.83%,72.22%,66.67%,70.83%,73.61%,72.22%,70.83%,70.83%,68.06%,66.67%,61.11%,65.28%,65.28%,66.67%,61.11%,58.33%,63.89%,59.72%,62.50%,58.33%
mult_SVC,63.89%,61.11%,65.28%,61.11%,68.06%,69.44%,69.44%,69.44%,73.61%,73.61%,73.61%,73.61%,65.28%,65.28%,69.44%,69.44%,61.11%,58.33%,58.33%,58.33%,61.11%,61.11%,63.89%,63.89%
mult_NB,62.50%,63.89%,62.50%,63.89%,55.56%,56.94%,56.94%,56.94%,45.83%,45.83%,45.83%,45.83%,59.72%,56.94%,59.72%,56.94%,61.11%,62.50%,63.89%,62.50%,58.33%,58.33%,56.94%,58.33%
DL,65.28%,62.50%,68.06%,69.44%,75.00%,75.00%,76.39%,77.78%,73.61%,76.39%,75.00%,76.39%,76.39%,70.83%,70.83%,75.00%,73.61%,70.83%,81.94%,75.00%,68.06%,69.44%,69.44%,69.44%
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,AVG,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_RF,69.44%,73.61%,77.78%,70.83%,69.44%,66.67%,71.30%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_KNN,72.22%,72.22%,73.61%,68.06%,66.67%,63.89%,69.44%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_SVC,65.28%,69.44%,73.61%,69.44%,61.11%,63.89%,67.13%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_NB,63.89%,56.94%,45.83%,59.72%,63.89%,58.33%,58.10%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,MAX accuracy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_RF,77.78%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_KNN,73.61%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_SVC,73.61%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mult_NB,63.89%,,,,,,,,,,,,,,,,,,,,,,,
