,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,0.62,0.63,0.63,0.62,0.35,0.35,0.33,0.31,0.25,0.26,0.24,0.25,0.46,0.46,0.40,0.47,0.43,0.42,0.43,0.38,0.35,0.34,0.38,0.36
mult_KNN,0.51,0.50,0.53,0.45,0.36,0.35,0.35,0.33,0.28,0.27,0.27,0.26,0.43,0.42,0.43,0.42,0.40,0.40,0.40,0.40,0.37,0.35,0.34,0.33
mult_SVR,0.52,0.53,0.53,0.53,0.35,0.35,0.35,0.34,0.25,0.26,0.25,0.26,0.42,0.42,0.42,0.42,0.43,0.43,0.42,0.42,0.38,0.38,0.38,0.38
mult_KR,0.48,0.49,0.52,0.51,0.33,0.33,0.33,0.33,0.25,0.26,0.26,0.26,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.42,0.38,0.38,0.38,0.38
DL,0.25,0.24,0.23,0.25,0.36,0.37,0.38,0.36,0.40,0.38,0.36,0.36,0.39,0.39,0.41,0.39,0.42,0.39,0.41,0.39,0.54,0.58,0.57,0.53
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,AVG,,,,,,,,,,,,,,,,,
mult_RF,61.84%,31.34%,24.36%,39.86%,38.47%,34.15%,38.34%,,,,,,,,,,,,,,,,,
mult_KNN,45.07%,33.29%,26.30%,42.21%,40.14%,33.03%,36.68%,,,,,,,,,,,,,,,,,
mult_SVC,52.33%,34.29%,25.25%,41.70%,41.94%,37.92%,38.91%,,,,,,,,,,,,,,,,,
mult_NB,47.77%,32.57%,25.38%,42.65%,41.47%,37.81%,37.94%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,MIN error,,,,,,,,,,,,,,,,,,,,,,,
mult_RF,24.36%,,,,,,,,,,,,,,,,,,,,,,,
mult_KNN,26.30%,,,,,,,,,,,,,,,,,,,,,,,
mult_SVC,25.25%,,,,,,,,,,,,,,,,,,,,,,,
mult_NB,25.38%,,,,,,,,,,,,,,,,,,,,,,,
